mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
97.77075227101643,22.141588507927572,0.55837082862854,0.04094001547536942,2,2,200,"{'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 200}",0.8608474571928099,0.8625822543247866,0.858311266144056,0.8605803258872174,0.0017538252213957764,27
278.13265387217206,6.5336384355760035,1.398171345392863,0.034053187228986107,2,2,500,"{'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 500}",0.861180208417761,0.8626329745615554,0.8580148943379406,0.8606093591057524,0.0019280504731811353,26
562.2247280279795,8.153024908796839,2.906740109125773,0.1835346143777923,2,2,1000,"{'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 1000}",0.8612323494999787,0.8633583608145178,0.8580409533632694,0.860877221225922,0.0021852982357753025,20
113.69994918505351,3.8115976022036633,0.5959113438924154,0.04108640232169441,2,16,200,"{'max_depth': 2, 'min_samples_leaf': 16, 'n_estimators': 200}",0.8610862350843793,0.8627828016714096,0.8584903884779816,0.8607864750779236,0.001765143016279691,21
124.92542735735576,75.91995785010464,0.27882949511210126,0.0020206055583185086,2,16,500,"{'max_depth': 2, 'min_samples_leaf': 16, 'n_estimators': 500}",0.8613109177719696,0.8628349548998412,0.8577282147725902,0.8606246958148004,0.002140541070647752,25
327.40264415740967,242.32401514670963,2.8807219664255777,1.7447927292204313,2,16,1000,"{'max_depth': 2, 'min_samples_leaf': 16, 'n_estimators': 1000}",0.8614121200176899,0.8627942587348489,0.8579488424494534,0.8607184070673307,0.002038045303359108,24
152.4911836783091,2.7191308366329987,1.0169744491577148,0.4636978655879703,2,64,200,"{'max_depth': 2, 'min_samples_leaf': 64, 'n_estimators': 200}",0.8611550240726369,0.8632309888052222,0.8579261649436216,0.8607707259404936,0.0021826669987927406,22
368.6669804255168,3.3998644671470704,1.511375904083252,0.19643386700251306,2,64,500,"{'max_depth': 2, 'min_samples_leaf': 64, 'n_estimators': 500}",0.8613970267310603,0.8630309244654325,0.8582706883224891,0.8608995465063273,0.0019749391492138854,19
751.2645301024119,7.057206345102174,4.297460079193115,1.4200417943721488,2,64,1000,"{'max_depth': 2, 'min_samples_leaf': 64, 'n_estimators': 1000}",0.8613245207182897,0.8627676067710228,0.8580941937236609,0.8607287737376579,0.001953865097102344,23
362.3165633678436,2.950774226104223,1.0810698668162029,0.19231274560616646,5,2,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 200}",0.9323946631189383,0.9313068819054642,0.9302000086064788,0.9313005178769603,0.0008959752537166002,11
910.4519968827566,16.619084417441304,3.4438840548197427,0.36526977280811046,5,2,500,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 500}",0.9325993373361112,0.931222734960819,0.9305885955763304,0.9314702226244203,0.0008393283878028803,10
1785.7838201522827,23.869590176985614,5.480734507242839,0.7487132824871958,5,2,1000,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 1000}",0.9325223388444988,0.9312215753303184,0.9301554496613922,0.9312997879454031,0.0009678598421760305,12
360.9894307454427,11.287198594934715,1.5065826574961345,0.3080405061794072,5,16,200,"{'max_depth': 5, 'min_samples_leaf': 16, 'n_estimators': 200}",0.9323604139562583,0.9308513628063906,0.9301764833282006,0.9311294200302832,0.0009130078903862567,15
910.1053318977356,14.791527684974254,3.6420164903004966,0.8868353573606444,5,16,500,"{'max_depth': 5, 'min_samples_leaf': 16, 'n_estimators': 500}",0.9324412494849974,0.9310429398198424,0.9300646996950019,0.9311829629999474,0.000975261364731483,13
1790.9296892484028,45.00139106996764,5.807813088099162,0.918035087320258,5,16,1000,"{'max_depth': 5, 'min_samples_leaf': 16, 'n_estimators': 1000}",0.9324815552961274,0.9308570882487799,0.9300570657752752,0.9311319031067274,0.0010086888399607607,14
368.6168514092763,1.5583981566995504,1.0583678086598713,0.13956811587799076,5,64,200,"{'max_depth': 5, 'min_samples_leaf': 64, 'n_estimators': 200}",0.9317593093776375,0.9303235190445425,0.9289447700668392,0.9303425328296729,0.0011491095178516964,16
920.5187067985535,15.348139768966934,2.843707799911499,0.6507826046212084,5,64,500,"{'max_depth': 5, 'min_samples_leaf': 64, 'n_estimators': 500}",0.9316466239241347,0.930220347762126,0.9289679356610557,0.9302783024491056,0.0010943374744554718,18
1837.0870157082875,12.903315828337055,6.059079011281331,1.7430796492776146,5,64,1000,"{'max_depth': 5, 'min_samples_leaf': 64, 'n_estimators': 1000}",0.931720962276645,0.9302050767618166,0.9290066659507421,0.9303109016630678,0.0011106305471806418,17
335.25198753674823,177.05816680300896,1.0391819477081299,1.0388565226879005,7,2,200,"{'max_depth': 7, 'min_samples_leaf': 2, 'n_estimators': 200}",0.9466729725986228,0.946120826791601,0.944834431082287,0.9458760768241703,0.0007702751182707712,3
228.8779379526774,0.3737128332091938,0.7564807732899984,0.010935527202174273,7,2,500,"{'max_depth': 7, 'min_samples_leaf': 2, 'n_estimators': 500}",0.9467584251879955,0.9461929640428913,0.944842025745194,0.9459311383253602,0.0008039739779631691,1
459.8737992445628,1.8724680510887373,1.518691062927246,0.02175818092134605,7,2,1000,"{'max_depth': 7, 'min_samples_leaf': 2, 'n_estimators': 1000}",0.9467347870859275,0.9462188418654826,0.9448034132650455,0.9459190140721518,0.0008164858595376069,2
